order_id,user_id,order_number,lunes,martes,miercoles,jueves,viernes,sabado,domingo,am,pm
123,5,65,0,0,0,0,0,1,0,1,0
124,5,66,0,0,0,0,0,0,1,1,0
125,5,67,0,1,0,0,0,0,0,0,1
126,5,68,0,0,0,1,0,0,0,0,1
127,5,69,0,0,0,0,0,0,1,0,1
128,5,70,0,0,0,1,0,0,0,1,0
129,5,71,0,0,0,1,0,0,0,0,1
130,5,72,0,0,0,0,0,0,1,1,0
131,5,73,0,0,0,1,0,0,0,1,0
132,5,74,0,0,0,0,0,0,1,1,0
133,5,75,0,0,0,1,0,0,0,0,1
134,5,76,0,0,0,1,0,0,0,0,1
135,5,77,0,0,0,0,0,0,1,0,1
136,5,78,0,0,0,1,0,0,0,0,1
137,5,79,0,0,0,0,0,0,1,0,1
138,5,80,0,0,0,1,0,0,0,0,1
139,5,81,0,1,0,0,0,0,0,1,0
140,5,82,0,0,0,1,0,0,0,0,1
141,5,83,1,0,0,0,0,0,0,1,0
142,5,84,0,1,0,0,0,0,0,0,1
143,5,85,0,0,0,1,0,0,0,0,1
144,5,86,0,0,0,0,1,0,0,0,1
145,5,87,0,0,0,0,0,0,1,1,0
146,5,88,0,0,0,0,0,0,1,0,1
147,5,89,0,0,0,0,0,0,1,0,1
148,5,90,1,0,0,0,0,0,0,0,1
149,5,91,0,0,0,1,0,0,0,0,1
150,5,92,0,0,0,0,0,0,1,0,1
151,5,93,0,1,0,0,0,0,0,1,0
152,5,94,0,1,0,0,0,0,0,1,0
153,5,95,0,0,0,1,0,0,0,0,1
154,5,96,0,0,0,0,0,0,1,1,0
155,5,97,0,1,0,0,0,0,0,1,0
156,5,98,0,0,0,1,0,0,0,0,1
157,5,99,0,0,0,0,0,1,0,1,0
158,11,1,0,0,0,0,0,1,0,0,1
159,11,2,0,0,0,0,0,1,0,0,1
160,11,3,0,0,1,0,0,0,0,0,1
161,11,4,0,0,0,1,0,0,0,1,0
162,11,5,0,1,0,0,0,0,0,0,1
163,11,6,0,0,0,0,1,0,0,1,0
164,1,1,0,0,1,0,0,0,0,0,1
165,1,2,0,0,1,0,0,0,0,1,0
166,1,3,0,1,0,0,0,0,0,1,0
167,1,4,0,1,0,0,0,0,0,0,1
168,13,1,0,0,0,0,1,0,0,1,0
169,13,2,0,1,0,0,0,0,0,0,1
170,13,3,0,0,0,1,0,0,0,0,1
171,13,4,0,1,0,0,0,0,0,0,1
172,13,5,0,0,0,1,0,0,0,0,1
173,9,1,1,0,0,0,0,0,0,1,0
174,9,2,0,0,0,0,0,0,1,1,0
175,9,3,0,0,0,0,0,0,1,1,0
176,9,4,0,0,0,0,0,0,1,1,0
177,9,5,0,0,0,0,0,0,1,1,0
178,9,6,1,0,0,0,0,0,0,0,1
179,9,7,1,0,0,0,0,0,0,0,1
180,9,8,0,0,0,0,0,0,1,1,0
181,9,9,0,0,0,1,0,0,0,0,1
182,9,10,0,1,0,0,0,0,0,0,1
183,9,11,1,0,0,0,0,0,0,1,0
184,9,12,1,0,0,0,0,0,0,1,0
185,15,1,1,0,0,0,0,0,0,1,0
186,15,2,1,0,0,0,0,0,0,0,1
187,15,3,0,0,1,0,0,0,0,0,1
188,15,4,0,0,0,1,0,0,0,0,1
189,15,5,0,1,0,0,0,0,0,1,0
190,15,6,0,1,0,0,0,0,0,0,1
191,15,7,1,0,0,0,0,0,0,0,1
192,15,8,0,1,0,0,0,0,0,0,1
193,15,9,0,0,0,0,0,1,0,0,1
194,8,1,0,0,0,1,0,0,0,0,1
195,8,2,0,0,1,0,0,0,0,0,1
196,8,3,1,0,0,0,0,0,0,0,1
197,8,4,0,1,0,0,0,0,0,0,1
198,8,5,0,0,0,1,0,0,0,1,0
199,8,6,0,1,0,0,0,0,0,0,1
200,8,7,0,1,0,0,0,0,0,1,0
201,8,8,0,1,0,0,0,0,0,0,1
202,8,9,0,1,0,0,0,0,0,1,0
203,2,1,0,1,0,0,0,0,0,0,1
204,2,2,0,0,0,0,1,0,0,0,1
205,2,3,0,1,0,0,0,0,0,0,1
206,2,4,0,1,0,0,0,0,0,1,0
207,2,5,0,0,1,0,0,0,0,1,0
208,2,6,0,1,0,0,0,0,0,1,0
